timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/24 05:49:36.212, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.04 W
2026/05/24 05:49:36.215, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.97 W
2026/05/24 05:49:36.218, 2, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.32 W
2026/05/24 05:49:36.221, 3, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.89 W
2026/05/24 05:50:06.224, 0, NVIDIA H200, 1 %, 0 %, 7883 MiB, 143771 MiB, 134.76 W
2026/05/24 05:50:06.224, 1, NVIDIA H200, 1 %, 0 %, 7883 MiB, 143771 MiB, 149.66 W
2026/05/24 05:50:06.224, 2, NVIDIA H200, 1 %, 0 %, 7883 MiB, 143771 MiB, 127.57 W
2026/05/24 05:50:06.224, 3, NVIDIA H200, 28 %, 10 %, 7883 MiB, 143771 MiB, 139.89 W
2026/05/24 05:50:36.225, 0, NVIDIA H200, 56 %, 18 %, 7885 MiB, 143771 MiB, 267.88 W
2026/05/24 05:50:36.225, 1, NVIDIA H200, 66 %, 23 %, 7885 MiB, 143771 MiB, 256.02 W
2026/05/24 05:50:36.225, 2, NVIDIA H200, 69 %, 19 %, 7885 MiB, 143771 MiB, 255.61 W
2026/05/24 05:50:36.226, 3, NVIDIA H200, 74 %, 9 %, 7887 MiB, 143771 MiB, 268.93 W
2026/05/24 05:51:06.226, 0, NVIDIA H200, 58 %, 19 %, 7885 MiB, 143771 MiB, 267.15 W
2026/05/24 05:51:06.226, 1, NVIDIA H200, 68 %, 23 %, 7887 MiB, 143771 MiB, 255.23 W
2026/05/24 05:51:06.226, 2, NVIDIA H200, 75 %, 9 %, 7887 MiB, 143771 MiB, 257.20 W
2026/05/24 05:51:06.226, 3, NVIDIA H200, 73 %, 11 %, 7887 MiB, 143771 MiB, 271.66 W
2026/05/24 05:51:36.227, 0, NVIDIA H200, 74 %, 9 %, 7887 MiB, 143771 MiB, 257.13 W
2026/05/24 05:51:36.227, 1, NVIDIA H200, 74 %, 8 %, 7887 MiB, 143771 MiB, 245.07 W
2026/05/24 05:51:36.227, 2, NVIDIA H200, 73 %, 12 %, 7887 MiB, 143771 MiB, 247.40 W
2026/05/24 05:51:36.228, 3, NVIDIA H200, 56 %, 12 %, 7887 MiB, 143771 MiB, 254.08 W
2026/05/24 05:52:06.228, 0, NVIDIA H200, 32 %, 11 %, 7887 MiB, 143771 MiB, 248.37 W
2026/05/24 05:52:06.228, 1, NVIDIA H200, 73 %, 12 %, 7887 MiB, 143771 MiB, 241.82 W
2026/05/24 05:52:06.228, 2, NVIDIA H200, 72 %, 12 %, 7887 MiB, 143771 MiB, 244.19 W
2026/05/24 05:52:06.229, 3, NVIDIA H200, 73 %, 12 %, 7887 MiB, 143771 MiB, 247.30 W
2026/05/24 05:52:36.229, 0, NVIDIA H200, 23 %, 7 %, 7887 MiB, 143771 MiB, 266.71 W
2026/05/24 05:52:36.229, 1, NVIDIA H200, 71 %, 12 %, 7887 MiB, 143771 MiB, 261.79 W
2026/05/24 05:52:36.229, 2, NVIDIA H200, 56 %, 12 %, 7887 MiB, 143771 MiB, 259.34 W
2026/05/24 05:52:36.230, 3, NVIDIA H200, 83 %, 10 %, 7887 MiB, 143771 MiB, 266.07 W
2026/05/24 05:53:06.230, 0, NVIDIA H200, 76 %, 7 %, 7887 MiB, 143771 MiB, 274.34 W
2026/05/24 05:53:06.230, 1, NVIDIA H200, 71 %, 12 %, 7887 MiB, 143771 MiB, 271.24 W
2026/05/24 05:53:06.230, 2, NVIDIA H200, 34 %, 12 %, 7887 MiB, 143771 MiB, 269.12 W
2026/05/24 05:53:06.231, 3, NVIDIA H200, 69 %, 21 %, 7887 MiB, 143771 MiB, 277.70 W
2026/05/24 05:53:36.231, 0, NVIDIA H200, 26 %, 8 %, 7887 MiB, 143771 MiB, 276.30 W
2026/05/24 05:53:36.231, 1, NVIDIA H200, 30 %, 9 %, 7887 MiB, 143771 MiB, 271.80 W
2026/05/24 05:53:36.231, 2, NVIDIA H200, 65 %, 12 %, 7887 MiB, 143771 MiB, 269.31 W
2026/05/24 05:53:36.231, 3, NVIDIA H200, 35 %, 12 %, 7887 MiB, 143771 MiB, 286.94 W
2026/05/24 05:54:06.232, 0, NVIDIA H200, 89 %, 11 %, 7887 MiB, 143771 MiB, 268.14 W
2026/05/24 05:54:06.232, 1, NVIDIA H200, 22 %, 8 %, 7887 MiB, 143771 MiB, 270.65 W
2026/05/24 05:54:06.232, 2, NVIDIA H200, 23 %, 7 %, 7887 MiB, 143771 MiB, 258.36 W
2026/05/24 05:54:06.232, 3, NVIDIA H200, 42 %, 14 %, 7887 MiB, 143771 MiB, 268.40 W
2026/05/24 05:54:36.233, 0, NVIDIA H200, 91 %, 12 %, 7887 MiB, 143771 MiB, 257.09 W
2026/05/24 05:54:36.233, 1, NVIDIA H200, 78 %, 8 %, 7887 MiB, 143771 MiB, 243.11 W
2026/05/24 05:54:36.233, 2, NVIDIA H200, 17 %, 5 %, 7887 MiB, 143771 MiB, 241.55 W
2026/05/24 05:54:36.233, 3, NVIDIA H200, 69 %, 5 %, 7887 MiB, 143771 MiB, 242.42 W
2026/05/24 05:55:06.234, 0, NVIDIA H200, 75 %, 9 %, 7887 MiB, 143771 MiB, 254.65 W
2026/05/24 05:55:06.234, 1, NVIDIA H200, 70 %, 6 %, 7887 MiB, 143771 MiB, 246.23 W
2026/05/24 05:55:06.234, 2, NVIDIA H200, 24 %, 7 %, 7887 MiB, 143771 MiB, 242.10 W
2026/05/24 05:55:06.234, 3, NVIDIA H200, 74 %, 7 %, 7887 MiB, 143771 MiB, 241.19 W
2026/05/24 05:55:36.235, 0, NVIDIA H200, 42 %, 12 %, 7887 MiB, 143771 MiB, 254.18 W
2026/05/24 05:55:36.235, 1, NVIDIA H200, 74 %, 8 %, 7887 MiB, 143771 MiB, 255.72 W
2026/05/24 05:55:36.235, 2, NVIDIA H200, 22 %, 6 %, 7887 MiB, 143771 MiB, 258.01 W
2026/05/24 05:55:36.236, 3, NVIDIA H200, 76 %, 6 %, 7887 MiB, 143771 MiB, 259.75 W
2026/05/24 05:56:06.236, 0, NVIDIA H200, 74 %, 8 %, 7887 MiB, 143771 MiB, 272.73 W
2026/05/24 05:56:06.236, 1, NVIDIA H200, 69 %, 20 %, 7887 MiB, 143771 MiB, 262.37 W
2026/05/24 05:56:06.236, 2, NVIDIA H200, 40 %, 12 %, 7889 MiB, 143771 MiB, 257.76 W
2026/05/24 05:56:06.237, 3, NVIDIA H200, 67 %, 12 %, 7887 MiB, 143771 MiB, 266.34 W
2026/05/24 05:56:36.237, 0, NVIDIA H200, 50 %, 16 %, 7887 MiB, 143771 MiB, 283.97 W
2026/05/24 05:56:36.237, 1, NVIDIA H200, 61 %, 20 %, 7887 MiB, 143771 MiB, 275.51 W
2026/05/24 05:56:36.238, 2, NVIDIA H200, 60 %, 21 %, 7889 MiB, 143771 MiB, 273.11 W
2026/05/24 05:56:36.238, 3, NVIDIA H200, 76 %, 7 %, 7887 MiB, 143771 MiB, 275.05 W
2026/05/24 05:57:06.238, 0, NVIDIA H200, 67 %, 23 %, 7887 MiB, 143771 MiB, 283.66 W
